NAME,club_name,league_name,x,value_eur,RATIING,potential,wage_eur,age,dob,height_cm,weight_kg,club_position
L. Messi,Paris Saint-Germain,French Ligue 1,1,78000000,93,93,320000,34,1987-06-24,170,72,RW
R. Lewandowski,FC Bayern München,German 1. Bundesliga,1,119500000,92,92,270000,32,1988-08-21,185,81,ST
Cristiano Ronaldo,Manchester United,English Premier League,1,45000000,91,91,270000,36,1985-02-05,187,83,ST
Neymar Jr,Paris Saint-Germain,French Ligue 1,1,129000000,91,91,270000,29,1992-02-05,175,68,LW
K. De Bruyne,Manchester City,English Premier League,1,125500000,91,91,350000,30,1991-06-28,181,70,RCM
J. Oblak,Atlético de Madrid,Spain Primera Division,1,112000000,91,93,130000,28,1993-01-07,188,87,GK
K. Mbappé,Paris Saint-Germain,French Ligue 1,1,194000000,91,95,230000,22,1998-12-20,182,73,ST
M. Neuer,FC Bayern München,German 1. Bundesliga,1,13500000,90,90,86000,35,1986-03-27,193,93,GK
M. ter Stegen,FC Barcelona,Spain Primera Division,1,99000000,90,92,250000,29,1992-04-30,187,85,GK
H. Kane,Tottenham Hotspur,English Premier League,1,129500000,90,90,240000,27,1993-07-28,188,89,ST
N. Kanté,Chelsea,English Premier League,1,100000000,90,90,230000,30,1991-03-29,168,70,RCM
K. Benzema,Real Madrid CF,Spain Primera Division,1,66000000,89,89,350000,33,1987-12-19,185,81,CF
T. Courtois,Real Madrid CF,Spain Primera Division,1,85500000,89,91,250000,29,1992-05-11,199,96,GK
H. Son,Tottenham Hotspur,English Premier League,1,104000000,89,89,220000,28,1992-07-08,183,78,LW
Casemiro,Real Madrid CF,Spain Primera Division,1,88000000,89,89,310000,29,1992-02-23,185,84,CDM
V. van Dijk,Liverpool,English Premier League,1,86000000,89,89,230000,29,1991-07-08,193,92,LCB
S. Mané,Liverpool,English Premier League,1,101000000,89,89,270000,29,1992-04-10,175,69,LW
M. Salah,Liverpool,English Premier League,1,101000000,89,89,270000,29,1992-06-15,175,71,RW
Ederson,Manchester City,English Premier League,1,94000000,89,91,200000,27,1993-08-17,188,86,GK
J. Kimmich,FC Bayern München,German 1. Bundesliga,1,108000000,89,90,160000,26,1995-02-08,177,75,RDM
Alisson,Liverpool,English Premier League,1,82000000,89,90,190000,28,1992-10-02,191,91,GK
G. Donnarumma,Paris Saint-Germain,French Ligue 1,1,119500000,89,93,110000,22,1999-02-25,196,90,GK
Sergio Ramos,Paris Saint-Germain,French Ligue 1,1,24000000,88,88,115000,35,1986-03-30,184,82,LCB
L. Suárez,Atlético de Madrid,Spain Primera Division,1,44500000,88,88,135000,34,1987-01-24,182,83,RS
T. Kroos,Real Madrid CF,Spain Primera Division,1,75000000,88,88,310000,31,1990-01-04,183,76,LCM
R. Lukaku,Chelsea,English Premier League,1,93500000,88,88,260000,28,1993-05-13,191,94,ST
K. Navas,Paris Saint-Germain,French Ligue 1,1,15500000,88,88,130000,34,1986-12-15,185,80,SUB
R. Sterling,Manchester City,English Premier League,1,107500000,88,89,290000,26,1994-12-08,170,69,SUB
Bruno Fernandes,Manchester United,English Premier League,1,107500000,88,89,250000,26,1994-09-08,179,69,CAM
E. Haaland,Borussia Dortmund,German 1. Bundesliga,1,137500000,88,93,110000,20,2000-07-21,194,94,RS
S. Agüero,FC Barcelona,Spain Primera Division,1,51000000,87,87,260000,33,1988-06-02,173,70,ST
H. Lloris,Tottenham Hotspur,English Premier League,1,13500000,87,87,125000,34,1986-12-26,188,82,GK
L. Modrić,Real Madrid CF,Spain Primera Division,1,32000000,87,87,190000,35,1985-09-09,172,66,RCM
